fifa_code,name,position,squad_number,fc26_overall,market_value_meur,season_rating_2025_26,season_rating_2024_25,season_rating_2023_24
HAI,Ugo Lopez,GK,1,69,65.29,,6.2,6.5
HAI,Samuel Dubois,CB,2,73,21.25,,6.9,7.2
HAI,André Gonzalez,CB,3,69,58.04,,6.8,6.8
HAI,Felipe Hansen,CB,4,76,55.54,,6.8,7.1
HAI,James Silva,CB,5,75,61.82,,6.8,6.9
HAI,Jan Khan,CDM,6,75,50.66,,6.7,6.6
HAI,André Petrov,ST,7,73,28.35,,6.6,6.7
HAI,Tomas Okonkwo,CM,8,70,67.81,,6.7,6.8
HAI,Samuel Eriksson,ST,9,74,83.24,,6.8,6.7
HAI,Jan Kim,CM,10,71,36.05,,6.2,6.3
HAI,Diego Petrov,CAM,11,75,64.87,,6.9,6.8
HAI,Hassan Gonzalez,LB,12,70,41.28,,6.6,6.8
HAI,Zoran Okonkwo,GK,13,68,57.02,,6.3,6.1
HAI,Zoran Santos,CM,14,69,37.92,,6.7,6.6
HAI,Mamadou Gonzalez,CB,15,69,46.69,,6.7,6.5
HAI,Ravi Hansen,CDM,16,70,48.44,,6.5,6.5
HAI,Marco Silva,LW,17,78,59.98,,6.5,6.5
HAI,Carlos Chen,ST,18,76,40.69,,6.2,6.4
HAI,Samuel Lopez,RW,19,76,72.45,,6.2,6.3
HAI,Ugo Ivanov,ST,20,76,55.62,,6.7,6.5
HAI,Ravi Lopez,LW,21,73,25.53,,6.7,6.8
HAI,Marco Hansen,RB,22,72,76.81,,6.6,6.4
HAI,Kenji Hansen,GK,23,72,20.16,,6.6,6.7
HAI,Kenji Okonkwo,RW,24,78,45.12,,6.5,6.7
HAI,Hassan Eriksson,ST,25,73,43.21,,7.0,6.8
HAI,Youssef Ivanov,CM,26,73,51.67,,6.2,6.4
USA,Matt Turner,GK,1,78,8.0,,6.7,6.6
USA,Lucas Müller,CB,2,80,60.34,,7.2,7.5
USA,Hassan Khan,CB,3,84,110.93,,7.4,7.5
USA,Kenji Ivanov,CB,4,85,45.65,,7.6,7.4
USA,Mamadou Eriksson,CB,5,88,134.83,,7.3,7.1
USA,Tyler Adams,CDM,6,80,18.0,,6.8,6.7
USA,André Santos,ST,7,87,74.85,,7.9,7.6
USA,Weston McKennie,CM,8,81,22.0,,6.9,6.8
USA,Folarin Balogun,ST,9,79,28.0,,6.7,6.6
USA,Christian Pulisic,LW,10,83,45.0,,7.0,6.9
USA,Gio Reyna,CAM,11,80,25.0,,6.8,6.7
USA,Ibrahim Brown,LB,12,82,122.13,,7.8,8.1
USA,Ibrahim Johansson,GK,13,83,132.82,,7.8,8.0
USA,Carlos Santos,CM,14,88,140.27,,7.6,7.5
USA,Ugo Kim,CB,15,86,123.32,,7.2,7.1
USA,Victor Okonkwo,CDM,16,84,114.15,,7.8,7.8
USA,André Johansson,LW,17,83,67.06,,7.1,7.0
USA,Samuel Ivanov,ST,18,86,41.72,,7.7,7.9
USA,Omar Dubois,RW,19,86,46.89,,7.5,7.4
USA,Lucas Hansen,ST,20,86,49.22,,7.6,7.4
USA,Hassan Müller,LW,21,86,60.95,,7.6,7.5
USA,Ugo Ali,RB,22,86,155.19,,7.5,7.2
USA,Tomas Khan,GK,23,79,51.67,,7.2,7.3
USA,André Müller,RW,24,83,35.56,,7.7,7.8
USA,Nikola Ivanov,ST,25,86,87.36,,7.5,7.7
USA,Diego Okonkwo,CM,26,85,60.32,,7.5,7.7
CUW,Zoran Chen,GK,1,73,36.93,,6.9,7.0
CUW,Samuel Brown,CB,2,70,18.85,,6.2,6.0
CUW,Quinn Hansen,CB,3,75,87.74,,6.5,6.4
CUW,André Santos,CB,4,69,31.41,,6.7,6.9
CUW,André Kim,CB,5,71,35.95,,6.2,5.9
CUW,Ravi Khan,CDM,6,73,66.08,,6.6,6.4
CUW,Lucas Fernandez,ST,7,77,63.95,,6.7,6.5
CUW,Marco Dubois,CM,8,72,35.56,,6.8,6.8
CUW,Diego García,ST,9,79,94.57,,6.6,6.8
CUW,Victor Hansen,CM,10,75,60.29,,6.7,6.7
CUW,Youssef Okonkwo,CAM,11,77,72.25,,6.7,6.4
CUW,Lucas García,LB,12,69,47.93,,6.4,6.6
CUW,Luis Eriksson,GK,13,70,31.61,,6.7,6.8
CUW,Youssef Hansen,CM,14,72,78.64,,6.8,6.9
CUW,Youssef Lopez,CB,15,74,66.03,,6.3,6.2
CUW,Felipe Brown,CDM,16,71,30.82,,6.5,6.7
CUW,Jan Dubois,LW,17,77,42.14,,6.2,6.3
CUW,Marco Fernandez,ST,18,77,25.88,,6.2,6.3
CUW,Victor Petrov,RW,19,74,67.53,,6.4,6.5
CUW,Samuel García,ST,20,72,75.58,,6.8,7.1
CUW,Carlos Gonzalez,LW,21,71,50.09,,6.2,6.1
CUW,Ugo Petrov,RB,22,74,41.02,,6.5,6.6
CUW,Victor Santos,GK,23,71,40.3,,6.9,7.0
CUW,James Dubois,RW,24,70,53.93,,6.9,7.1
CUW,Diego Kim,ST,25,76,91.88,,6.7,6.5
CUW,Jan Gonzalez,CM,26,68,28.94,,6.2,6.1
ECU,Willem Okonkwo,GK,1,80,89.17,,6.9,7.0
ECU,Ravi Gonzalez,CB,2,85,104.12,,7.3,7.2
ECU,Tomas Hansen,CB,3,80,87.67,,7.6,7.6
ECU,James Santos,CB,4,84,116.02,,7.6,7.6
ECU,Omar Fernandez,CB,5,85,145.72,,7.2,7.2
ECU,James Müller,CDM,6,81,115.44,,7.5,7.4
ECU,Pierre Ivanov,ST,7,86,125.03,,7.1,6.9
ECU,Felipe Johansson,CM,8,83,91.08,,7.1,7.3
ECU,Zoran Santos,ST,9,86,114.92,,7.0,6.8
ECU,Carlos Lopez,CM,10,80,48.22,,7.0,7.0
ECU,Jan Santos,CAM,11,81,56.18,,7.1,7.1
ECU,Tomas Petrov,LB,12,82,115.83,,7.4,7.2
ECU,Ibrahim Eriksson,GK,13,80,70.85,,7.7,7.5
ECU,Zoran Silva,CM,14,78,32.26,,7.3,7.3
ECU,Luis Eriksson,CB,15,82,49.07,,7.7,7.4
ECU,Willem Silva,CDM,16,85,146.31,,6.9,6.7
ECU,Ugo Santos,LW,17,86,144.71,,7.6,7.6
ECU,Ibrahim Silva,ST,18,83,115.71,,7.0,6.7
ECU,Omar Gonzalez,RW,19,87,162.79,,7.7,7.9
ECU,André Khan,ST,20,84,79.9,,7.0,7.0
ECU,Willem Eriksson,LW,21,81,62.45,,7.4,7.6
ECU,Victor Lopez,RB,22,81,53.95,,7.3,7.1
ECU,Hassan Khan,GK,23,77,50.07,,7.4,7.5
ECU,Hassan Dubois,RW,24,81,55.06,,7.0,7.1
ECU,Felipe Chen,ST,25,87,83.54,,7.0,6.8
ECU,André Kim,CM,26,81,57.1,,7.3,7.1
SWE,Youssef Gonzalez,GK,1,70,67.5,,6.5,6.6
SWE,Nikola Lopez,CB,2,76,60.18,,7.1,6.9
SWE,Lucas Kim,CB,3,74,47.63,,6.4,6.5
SWE,Jan Brown,CB,4,75,76.44,,6.8,6.6
SWE,Jan Lopez,CB,5,77,86.76,,6.7,6.4
SWE,Mamadou Hansen,CDM,6,73,69.94,,6.8,6.7
SWE,Luis Silva,ST,7,80,111.66,,7.0,7.0
SWE,Zoran Johansson,CM,8,77,71.1,,6.6,6.7
SWE,Tomas García,ST,9,77,41.79,,7.1,6.9
SWE,Marco Chen,CM,10,76,33.07,,7.2,7.3
SWE,André Kim,CAM,11,74,78.97,,6.5,6.8
SWE,Carlos Chen,LB,12,72,21.72,,6.7,6.6
SWE,Zoran Silva,GK,13,75,28.49,,7.0,7.3
SWE,Kenji Dubois,CM,14,78,88.97,,6.5,6.6
SWE,Kenji Chen,CB,15,77,101.29,,6.5,6.7
SWE,James Gonzalez,CDM,16,78,63.93,,7.0,6.8
SWE,Lucas Eriksson,LW,17,79,76.69,,6.8,6.6
SWE,Hassan Brown,ST,18,77,32.28,,6.8,6.6
SWE,James Kim,RW,19,75,25.65,,6.6,6.8
SWE,Youssef Lopez,ST,20,81,33.21,,6.6,6.3
SWE,Ugo Okonkwo,LW,21,78,102.11,,7.2,7.3
SWE,James Lopez,RB,22,76,72.16,,6.8,7.0
SWE,Ugo Johnson,GK,23,70,29.0,,6.5,6.4
SWE,Nikola Santos,RW,24,76,52.56,,6.5,6.3
SWE,Zoran Petrov,ST,25,76,78.56,,6.9,6.9
SWE,Lucas Okonkwo,CM,26,76,86.74,,6.6,6.8
KSA,Ibrahim Ivanov,GK,1,67,54.29,,6.9,6.6
KSA,Ibrahim Brown,CB,2,71,73.09,,6.6,6.8
KSA,Felipe Brown,CB,3,68,19.86,,6.3,6.2
KSA,Willem Ali,CB,4,68,39.83,,6.9,7.1
KSA,André Müller,CB,5,75,45.5,,6.2,6.0
KSA,Victor Santos,CDM,6,76,26.0,,6.8,6.8
KSA,Ugo Brown,ST,7,77,72.05,,6.8,6.7
KSA,Luis Eriksson,CM,8,75,85.35,,6.4,6.6
KSA,Kenji Khan,ST,9,75,46.82,,6.5,6.5
KSA,Quinn Hansen,CM,10,70,56.86,,6.6,6.3
KSA,André Johnson,CAM,11,75,31.46,,6.3,6.6
KSA,Luis Johnson,LB,12,72,38.94,,6.7,6.7
KSA,Ravi Ivanov,GK,13,71,69.83,,6.6,6.4
KSA,Luis Brown,CM,14,73,52.15,,6.2,6.1
KSA,Ugo Hansen,CB,15,73,71.93,,6.4,6.7
KSA,André Kim,CDM,16,71,60.38,,6.5,6.4
KSA,André Silva,LW,17,76,84.17,,6.4,6.6
KSA,Samuel Khan,ST,18,73,63.25,,6.4,6.3
KSA,Jan Gonzalez,RW,19,75,64.2,,6.3,6.3
KSA,Zoran Müller,ST,20,75,74.08,,6.6,6.7
KSA,Felipe Fernandez,LW,21,72,52.19,,6.5,6.2
KSA,Marco Johnson,RB,22,70,33.11,,6.8,6.7
KSA,Victor Kim,GK,23,68,25.16,,6.3,6.4
KSA,Ugo Ivanov,RW,24,76,40.73,,6.7,6.8
KSA,Willem Ivanov,ST,25,72,62.16,,6.8,6.5
KSA,Lucas Johansson,CM,26,75,76.42,,6.8,7.0
NOR,Felipe Hansen,GK,1,76,77.51,,7.0,6.9
NOR,Kenji Gonzalez,CB,2,81,110.94,,6.8,7.1
NOR,Willem Johnson,CB,3,80,52.44,,6.9,6.7
NOR,Lucas Johnson,CB,4,78,63.29,,6.7,6.6
NOR,Youssef Ivanov,CB,5,77,60.86,,6.9,6.7
NOR,Youssef Dubois,CDM,6,79,46.72,,6.9,7.0
NOR,André Chen,ST,7,83,102.45,,6.7,6.6
NOR,Marco Dubois,CM,8,81,109.69,,7.1,7.0
NOR,Luis Ali,ST,9,84,75.15,,6.9,6.6
NOR,Omar Müller,CM,10,76,27.83,,6.7,6.6
NOR,Zoran Chen,CAM,11,77,57.12,,7.0,7.3
NOR,Luis García,LB,12,74,28.47,,6.8,6.8
NOR,Zoran García,GK,13,74,83.43,,6.8,7.1
NOR,Luis Dubois,CM,14,78,104.41,,7.2,7.1
NOR,Pierre Dubois,CB,15,78,28.47,,6.9,7.1
NOR,Jan Hansen,CDM,16,81,54.0,,7.4,7.2
NOR,Nikola Khan,LW,17,83,76.79,,7.2,7.3
NOR,Luis Gonzalez,ST,18,78,81.02,,7.0,6.9
NOR,Luis Ivanov,RW,19,81,115.9,,6.9,6.9
NOR,Quinn García,ST,20,78,64.28,,6.7,6.8
NOR,Hassan Hansen,LW,21,78,39.69,,7.1,7.0
NOR,Lucas Khan,RB,22,75,45.5,,7.2,7.2
NOR,Ugo Gonzalez,GK,23,76,47.1,,6.8,7.1
NOR,Willem Petrov,RW,24,79,82.64,,7.0,7.1
NOR,Ibrahim Khan,ST,25,78,33.36,,7.0,6.8
NOR,Mamadou Hansen,CM,26,78,29.61,,6.8,6.6
IRQ,Jan Johnson,GK,1,67,52.56,,6.7,6.5
IRQ,Omar Lopez,CB,2,69,57.77,,6.2,6.0
IRQ,Pierre Hansen,CB,3,70,33.4,,6.6,6.7
IRQ,Tomas García,CB,4,69,21.29,,6.8,6.5
IRQ,Willem Khan,CB,5,73,32.44,,6.8,6.7
IRQ,Quinn Silva,CDM,6,76,76.55,,6.7,7.0
IRQ,Jan Gonzalez,ST,7,74,60.39,,6.6,6.4
IRQ,Samuel Kim,CM,8,68,57.59,,6.9,7.0
IRQ,Hassan Silva,ST,9,78,52.69,,6.6,6.6
IRQ,Mamadou Hansen,CM,10,71,27.16,,6.6,6.6
IRQ,Ravi Okonkwo,CAM,11,77,76.83,,6.8,6.9
IRQ,Hassan Kim,LB,12,73,69.55,,6.8,6.7
IRQ,Ravi Dubois,GK,13,72,73.39,,6.3,6.1
IRQ,Zoran Okonkwo,CM,14,76,79.18,,6.8,6.5
IRQ,Victor García,CB,15,69,58.07,,6.8,6.9
IRQ,James Santos,CDM,16,70,19.72,,6.6,6.4
IRQ,Nikola Petrov,LW,17,78,56.9,,7.0,7.1
IRQ,André Chen,ST,18,76,50.54,,6.4,6.6
IRQ,Jan Brown,RW,19,70,63.7,,6.9,7.0
IRQ,Kenji Gonzalez,ST,20,74,26.97,,6.8,6.5
IRQ,Jan Hansen,LW,21,73,23.48,,6.9,7.1
IRQ,Jan Silva,RB,22,67,50.44,,6.4,6.2
IRQ,Mamadou Santos,GK,23,71,24.78,,7.0,6.9
IRQ,Ugo Petrov,RW,24,71,50.93,,6.2,6.4
IRQ,Mamadou Eriksson,ST,25,75,77.1,,6.5,6.6
IRQ,Felipe Santos,CM,26,68,20.93,,6.5,6.4
JOR,Pierre Hansen,GK,1,72,64.86,,6.4,6.5
JOR,James Gonzalez,CB,2,69,17.28,,6.8,7.1
JOR,Samuel Lopez,CB,3,71,19.86,,6.8,6.6
JOR,Omar Fernandez,CB,4,68,61.91,,6.5,6.5
JOR,Marco García,CB,5,74,63.38,,7.0,6.7
JOR,Willem García,CDM,6,76,59.58,,6.8,6.9
JOR,Quinn Lopez,ST,7,76,71.65,,6.3,6.0
JOR,Quinn Gonzalez,CM,8,70,60.88,,6.7,6.4
JOR,Carlos García,ST,9,78,40.12,,6.2,6.2
JOR,Pierre Lopez,CM,10,75,72.41,,6.6,6.6
JOR,Diego Müller,CAM,11,77,38.42,,6.3,6.5
JOR,Carlos Ali,LB,12,68,25.88,,6.5,6.8
JOR,Luis Müller,GK,13,73,50.98,,6.9,6.7
JOR,André Dubois,CM,14,74,71.78,,6.8,7.0
JOR,James Johnson,CB,15,69,61.58,,6.8,6.6
JOR,Carlos Hansen,CDM,16,69,23.59,,6.4,6.5
JOR,Youssef Petrov,LW,17,73,34.87,,6.4,6.3
JOR,James Hansen,ST,18,75,77.14,,6.2,6.5
JOR,Felipe Silva,RW,19,77,39.32,,6.9,7.0
JOR,Pierre García,ST,20,74,32.15,,6.5,6.2
JOR,James Khan,LW,21,70,64.65,,6.9,6.9
JOR,Willem Dubois,RB,22,74,77.87,,6.8,6.7
JOR,Lucas Fernandez,GK,23,72,53.13,,6.3,6.5
JOR,Marco Johansson,RW,24,70,66.2,,6.2,6.1
JOR,Marco Khan,ST,25,75,30.81,,6.9,6.9
JOR,Lucas Santos,CM,26,70,69.81,,6.2,6.4
COD,Tomas Silva,GK,1,70,44.3,,6.4,6.1
COD,Tomas Ivanov,CB,2,69,63.12,,6.4,6.5
COD,Kenji Johnson,CB,3,72,29.16,,6.7,7.0
COD,Luis Hansen,CB,4,75,78.95,,6.3,6.1
COD,Omar Okonkwo,CB,5,70,22.81,,6.4,6.4
COD,Nikola Okonkwo,CDM,6,74,76.09,,6.4,6.4
COD,Quinn Lopez,ST,7,79,105.09,,6.5,6.4
COD,Nikola Johansson,CM,8,74,66.56,,6.5,6.6
COD,Luis García,ST,9,75,44.42,,6.9,7.2
COD,James Gonzalez,CM,10,71,59.32,,6.5,6.6
COD,Quinn Hansen,CAM,11,74,83.14,,6.4,6.3
